idx,answer
45,"""둥글둥글"" 

학창시절 원만한 인간관계를 유지하였습니다. 눈을 보며 이야기하는 것을 좋아하고, 상대방의 필요를 빠르게 알아차리는 성격 덕분입니다. 큰 다툼 없이 유대관계를 형성하였고, 서로에게 힘이 되어주며 함께 성장하였습니다. 
그 덕분에 할아버지인 조부모님의 장례식에도 불구하고 25명의 친구가 찾아와 주었습니다. 일손을 도와주며 위로를 해주는 친구들을 보며 교우관계의 중요성을 느낄 수 있었습니다. 

하지만 상황 때문에 신뢰가 깨진 경험이 있습니다. 아쉬운점 1

""오해가 낳은 습관"" 

대학교 축구 동아리 ‘스톰’에서 총무를 맡으며 오해의 상황을 경험하였습니다. 졸업하신 선배들과 함께 뛰는 ‘홈커밍 축구 대회’행사를 위해 물품 구매를 하였습니다. 행사 후, 뒤풀이 자리에서 회비가 부족하였고, 의심의 눈초리를 받았습니다. 동아리 지원금과 선배들의 후원금이 벌써 소진되었느냐는 의견이 많았습니다. 

동아리원들의 의심이 억울하였지만, 신뢰를 잃고 싶지 않아 ‘기록’을 보여 해명하였습니다. 지출 영수증과 카드기록을 정리하여 동아리 카페에 ‘회계 보고서’를 올리며 오해를 풀 수 있었습니다. 

이 경험을 통해 깊은 관계도 ‘어떤 상황’으로 인해 깨질 수 있다는 것을 깨달았습니다. ‘말하기’보다는 ‘기록’하는 것이 신뢰를 형성하는 소통의 일부라고 생각합니다. 이후, 어떤 일이든 ‘기록’하여 ‘문서화’하기 위해 두 가지를 노력하였습니다. 아쉬운점 2

""도구로써의 문서화""

첫 번째, 문서는 정보를 ‘꼼꼼히 저장하는 도구’입니다. 시간이 지나도 잊어버리지 않고, 사람들과 쉽게 공유할 수 있습니다. ‘SYSP’ 윤활유 정제공장 아르바이트를 하였습니다. 적정 온도의 허용 오차범위를 파악하고 냉각수와 윤활유의 원활하지 못한 공급으로 인한 여러 문제 사항을 꼼꼼히 기록하였습니다. 좋은점 1이를 사장님께 제출하여 문제를 대비하고, 에러를 고쳐 나갔습니다.

두 번째, 문서는 ‘설득의 도구’입니다. 객관적인 지표를 통해 사람들을 이해시킬 수 있습니다. 17년 1월, 시사 토론 동아리 상부상조 회장으로 지원금 발표회를 준비하였습니다. 동아리원들의 공통적인 의견으로, 직접 봄으로서 얻는 경험으로 토론에 필요한 역량을 기르고 싶었습니다. 1년간 작성된 회의록과 활동내용으로 발표회를 하였습니다.  그 결과, 동아리 지원금 150만 원을 지원받아 4차 산업혁명 포럼에 참가하였습니다. 아쉬운점 3"
46,"""경청하는 자세로 의견 충돌을 팀워크로 바꾸어 수상까지""

저는 갈등을 외면하지 않고 경청하여 협력으로 이끌어 내는 능력을 갖고 있습니다. 이러한 강점을 바탕으로 상대방이 말하고자 하는 목적을 먼저 파악하고 감정을 헤아리려 노력합니다. 이 노력으로 학부 시절 총 5번의 팀워크에서 모두 좋은 성과를 이루었습니다.
일례로 대한 설비공학회의 HVAC 경진대회 준비 당시, INVENTOR와 CAD를 이용한 3D 모델링 과정에서 저는 연구에서 깨달은 점을 바탕으로 모델링을 최대한 세밀하게 하여 출력해야겠다고 생각하였습니다. 하지만 여러 번 출력하고 실험해 보면서 결함을 보완하자는 팀원과의 의견 차이가 생긴 적이 있었습니다.
저는 먼저 팀원의 말을 경청하며 말하고자 하는 바를 파악하였고 이는 상대방도 저의 의견을 들을 준비를 할 수 있게끔 해주었습니다. 이를 통해 연구에서 직접 경험하며 얻은 점을 언급하여 팀원 모두가 만족할 만한 방향을 제시하여 한마음으로 협력할 수 있었습니다.

모두가 협력하며 만든 세밀한 모델링으로 원하는 규격과 메커니즘에 맞는 결과를 도출할 수 있었고 밤낮으로 실험한 결과 장려상을 받을 수 있었습니다.
갈등을 외면하지 않고 협력으로 이끄는 강점을 발휘하여 한마음 한뜻으로 협력하며 금호건설 플랜트 사업 팀에서 공동의 목표를 달성하기 위해 계속해서 나아가겠습니다."
47,"[활기찬 조직문화 형성]

저는 입사 후 10년내에 회사 내에서 조직문화 개선의 선두주자가 될 것입니다. 다양한 업무의 부서를 통합하여 관리하고 분위기를 개선하고 이를 통해 능동적이고 창의적인 기업을 만들겠습니다. 첨단기술이든, 어느 기업이든지간에 사람과 사람사이의 관계가 가장 중요하다고 생각하기 때문입니다.

신뢰할 수 있고, 활기찬 분위기를 조성함으로써 저는 1+1=2가 아닌 1+1=3이라는 새로운 가치를 창출할 수 있다고 생각합니다. 따라서 저는 이러한 개선을 통해 이직률을 줄이고, 장기 근속할 수 있는 기업여건을 마련하겠습니다.

즉, 경영지원의 중심에 제가 있음으로 인해서 직원 모두가 행복해 할 수 있는 기업, 사원 누구나 자신의 직책에 충실하고 업무에 몰두할 수 있게 할 수 있는 기업, 기업의 이익을 다시 사원들에게 되돌려 줌으로써 다시 업무 효율성을 극대화시킬 수 있는 분위기를 가진 기업이 될 것이라고 확신합니다."
48,"2016 OOOOO대회에 참가하였습니다. 4명이서 팀을 꾸려 앱 개발 부문으로 참가하였습니다. 역할을 발표, 프로그래밍, 디자인, 서기로 나누었고 저는 디자인 파트를 맡았습니다. 첫 시작은 발표를 담당한 팀원이 주도적으로 회의를 진행해가며 아이디어가 나오고 구체화 시켰습니다. 발표 담당 팀원이 아이디어 발표를 준비하였습니다. 그때까지만 해도 아무런 문제가 없었지만 본격적인 앱 개발이 시작되자 팀원 두명에게 약간의 마찰이 생겼습니다. 프로그래밍을 담당한 팀원이 코딩을 하는 동안 발표담당팀원이 쉬고 있어 자신만 일하는 것 같다고 농담처럼 한마디 하자 다른 팀원들은 발표 준비하는 동안 충분히 쉬웠잖아 라는 식으로 응수해 말싸움이 일어났습니다. 아이디어 회의는 팀원들이 다 같이 하였지만 코딩은 자기 혼자 하고 있다며 점점 격해졌습니다. 저는 농담을 해 최대한 분위기를 풀어볼려고 했지만 발표 담당팀원이 자리를 박차고 일어났습니다. 이렇게까지 커질 일이 아니였지만 어느샌가 해체 직전까지 가버렸습니다. 저는 어디서부터 잘못된 것인지 문제점을 진단해 보았습니다. 제 생각에는 서로 자신의 입장만을 고집하고 태도가 진지하지 못해 어디까지가 농담이고 본심인지 몰랐기 때문이였다고 생각했습니다. 서로의 입장을 아는게 가장 중요하니 팀원들을 찾아갔습니다. 먼저 발표담당 팀원을 찾아가 그때 어떤 생각을 하였고 왜 화가 났는지를 들어보고 프로그래밍담당 팀원을 만나 발표담당 팀원의 입장을 설명해주었습니다. 역지사지로 생각해서 좋은 방향으로 해결하자는 의견을 피력했고 두 팀원은 대화로 오해를 풀어 서로 화해하였습니다. 그 결과 자기역할만 다 하면 된다란 팀 분위기가 자기 역할을 다했더라도 도움이 필요하다면 발 벗고 나서자는 팀분위기로 바뀌었고 끈끈한 팀워크가 완성되었습니다. 대회는 6팀중 2등이라는 우수한 결과를 받아올 수 있었습니다.아쉬운점 1"
49,"넷마블의 글로벌 사업 PM 업무에 임하고 싶습니다. 어릴 적부터 시작된 중국 유학생활, 처음 밟아본 외국 땅이 신기했고 중국어라는 특기가 생긴다는 생각에 설레었지만, 적응이 쉬운 것만은 아니었습니다. 언어가 잘 통하지 않는 친구들, 생소한 과목 등 낯선 환경에서 저에게 가장 큰 위로가 되었던 것은 바로 게임입니다. 

다양한 게임을 플레이하는 것을 시작으로 모 게임 공식 커뮤니티의 스텝까지 맡게 되는 등 점차 게임에 대한 열정을 키워나갔고, 게임은 제 학창시절에서 빼놓을 수 없는 키워드가 되었습니다. 

그토록 게임을 좋아하던 소녀는 13년이라는 긴 유학생활 끝에 결국 진로를 게임으로 정하였고, 게임이라는 취미와 중국어라는 특기가 접목된 분야 중 글로벌 게임 PM이라는 사업을 알게 되었습니다."
50,"""1인 2역""

군복무시절 1년간 혼자서 두 명의 역할을 감당하며 일을 한 적이 있습니다. 군 복무를 하며 중대장 임무를 감당할 기회가 있었는데, 부사관 인력부족으로 행정보급관의 임무까지 맡아서 해야 하는 상황이었습니다. 조금 더 부지런하게 움직이면 될 거로 생각했지만, 문제는 중대장 업무는 인수인계를 받았지만, 행정보급관 업무는 인수인계를 받지도 못했기 때문에 다시 처음부터 배우고 알아나가야 한다는 것이었습니다.

이를 해결하기 위해 행정보급관 컴퓨터에 있는 전년도 자료들을 보고 참고하며 업무계획과 내용을 정리하였고, 다른 중대 행정보급관들에게 직접 찾아가서 부족한 점이나 모르는 내용을 물어보았고, 그렇게 알아온 내용을 중대 병사들과 우리 중대에 맞게 수정하며 일을 수행하였습니다.

제가 모르면 중대병사들에게 돌아가는 혜택이 줄어들 수 있다는 생각에 끝까지 포기하지 않았고, 이를 알아준 병사들과 함께 노력하여 그해 훈련뿐 아니라 전투력측정도 1등을 할 수 있었습니다.아쉬운점 1"
51,"소심한 제 모습을 보고 적극적으로 행동하라는 충고를 듣고 반영한 경험이 있습니다. 부족한 제 모습이 상대방에게 민폐 끼치는 것 같아 항상 죄송하다는 말로 시작했습니다. 이런 제 모습을 본 본부장님은 부족한 사실에 대해 부끄러워하지 말고, 도움이 필요하면 항상 당당하게 요청하라고 이야기해주셨습니다. 이후 소극적으로 행동하지 않고 당당하게 다가갔습니다. 바뀐 제 모습을 본 주변 사람들은 놀라워하면서 신뢰하기 시작했고, 비슷한 문제를 겪은 동료에게 조언할 수 있게 되었습니다.아쉬운점 1"
52,"전기명장이 되어 우리나라뿐 아니라 세계에 진출하여 강의하는 꿈을 가지고 있습니다. 전기명장이 되기 위해서는 전문성이 가장 중요하다는 생각에 기본이 되는 전기기능사 자격증을 취득하였습니다. 자격증을 취득한 후 시간을 활용하고자 입대할 때 경력이 인정되는 정비병에 지원하여 군대에서도 미리 전기산업기사 자격증 공부를 시작하였습니다. 그 덕분에 제대 후 전기산업기사 필기시험에서 한 번에 합격할 수 있었습니다. 하지만 전기산업기사 실기 시험이 한 달밖에 남지 않았으며, 전공자들도 한 번에 취득하기는 힘들다는 말밖에 없었습니다. 꿈과 회사를 위해 멈추는 것이 아니라 좀 더 많은 노력을 통해 극복하기로 하였습니다. 매일 9시부터 6시까지 도서관에 가서 인터넷 강의와 문제집을 통해 부족한 부분을 채워나갔습니다. 그 덕분에 지난해 문제에서도 높은 점수를 획득하여 얼마 전 전기산업기사 3회 실기 시험도 무사히 마칠 수 있었습니다.아쉬운점 1"
53,"""타 분야에 대한 수용""

한국공항공사의 인재상 중 ‘융합인’에 맞는 직원이 되기 위해 준비해왔습니다. 좋은점 1전공인 전자 공학 이외의 분야를 접할 수 있도록 학부 시절에 노력하였습니다.
전자공학인증 프로그램 이수를 통해 전공 이외의 과목을 수강하였습니다. 13, 14년도에 일반화학, 일반 생물학, 수학 과목 등을 수강하면서 전공 이외의 학문을 접할 수 있도록 노력했습니다.
SW 개발 역량이 부족하다 판단되어 로봇 개발 대회인 SoC Robot War를 참가하였습니다. 팀원과 알고리즘을 c로 구현해보고, 점검하면서 직접 소프트웨어 개발을 경험하였습니다. 또한, 참가팀 교육에서 리눅스 및 임베디드 시스템, 소프트웨어 개발 노하우 등 배운 내용을 꼼꼼하게 필기하거나 녹음을 하면서 팀원과 반복적으로 학습하였습니다.아쉬운점 1"
54,"[Smart Learner]
모르는 것에 직접 부딪치며 빠르게 배우는 사람을 Fast Learner라 합니다. 저는 새로운 지식과 기술을 빠르게 습득할 뿐 아니라 그 과정을 즐기고, 적재적소에 활용해내는 ‘smart’함을 갖춘 ‘Smart Learner’입니다. 대학교 2학년 때 Java를 배우며 팀 프로젝트로 간단한 게임을 만든 경험이 있습니다. 개발 이외에 게임의 UI와 캐릭터 디자인이라는 난관이 있었습니다. 

팀 내에 디자인 툴을 다룰 줄 아는 사람이 없어 막막하였습니다. 임시 이미지로 개발을 진행하는 동안, 포토샵과 일러스트레이터를 독학하여 빠른 속도로 기능과 활용 방법을 익혔습니다. 흥미와 자신감이 생겨 자발적으로 UI와 캐릭터 디자인을 전담하였고 보기에도 좋고 재미있게 즐길 수 있는 게임을 완성하였습니다. 배우고 익힌 것을 단순히 외우고 있는 것이 아니라, 하나를 알게 되면 두 가지 활용 방법을 생각하는 습관은 저를 ‘실전에 강한’ 사람으로 성장하게 하였습니다. 

[다리가 되는 사람]
모난 데 없이 융통성 있는 성격으로, 단체 생활에서 구성원 간의 다리 역할을 도맡아 왔습니다. 대학교에서 밴드동아리에서 키보드 세션 담당으로 활동한 경험이 있습니다. 정기 공연을 준비하던 당시 세션별 연습 부족으로 공연 준비가 계획보다 늦어지게 되었고, 동기들 간 마찰로 언성을 높이는 상황까지 발생하였습니다. 

저는 동아리 내 다리 역할을 자처하여 갈등을 해소하고자 하였습니다. 쓴 소리를 할 수밖에 없는 동아리 회장의 이야기를 듣고 공감하며 이해하고자 하였고, 과제와 프로젝트로 바빠 연습에 소홀할 수밖에 없던 다른 동기들의 의견 또한 들어보았습니다. 저는 연습 일정을 조정하는 방안을 제시하였고, 재정비한 일정으로 준비하여 공연을 성공적으로 마칠 수 있었습니다. 

이는 맡은 역할의 크기와 상관없이 소속감과 책임감을 바탕으로 조직의 화합을 이끄는 저의 성격이 빛을 발했던 경험이었습니다. 이처럼 조직에의 융화가 빠르고 뛰어난 저는 단체생활에서 타인과 타인, 타인과 조직 간에도 윤활제가 되는 사람입니다. 

[두 마리 토끼를 놓치다 – 재정비 성공!]
대학교 2학년을 마친 뒤, 평소 관심 있던 문화콘텐츠 분야를 배워보고 싶어 ‘문화콘텐츠 융합전공’을 신청하였고 3학년 동안 문과대학의 다양한 수업을 수강하였습니다. 그런데 융합전공 과목들은 생각만큼 재미있기만 한 내용이 아니었습니다. 

고전문학과 스토리텔링 수업을 수강하며 직접 이야기를 창작해내는 과제에서 크게 어려움을 느꼈습니다. 소비자 심리학, 예술과 미학 등의 이론 수업에서도 생소한 철학적 내용을 배우며 단순 암기나 문제 해결에만 익숙했던 저는 좋은 성적을 받기 어려웠습니다. 

게다가 3학년 전공과목들은 난이도가 높고 팀 프로젝트와 과제가 많은 과목 위주였기에 저는 전공과 융합전공 성적이라는 두 마리 토끼를 모두 놓친 격이 되어버렸습니다. 진지한 고민 없이 무턱대고 융합 전공에 도전한 것은 결과적으로 저조한 성적이라는 부정적인 결과를 낳았습니다.

3학년을 마쳤을 때, 과제와 시험 위주의 공부로 심도 있는 전공 지식을 갖추지 못하였고 성적도 저조한 상황이었습니다. 이대로 4학년까지 마치고 졸업을 할 수는 없다는 생각에 휴학을 결심하게 되었습니다. 몇 개월간 아르바이트를 통해 돈을 모으고, 5주간 유럽여행을 떠나 다양한 문화를 경험하고 돌아왔습니다. 

또한 평소에 관심은 있었으나 학과에 수업이 개설되지 않는 HTML, 자바스크립트 등의 웹 언어에 대해서도 스스로 공부해 보았습니다. 성적이 좋지 않았거나 미처 수강하지 못했던 전공과목들을 교수님께 양해를 구한 뒤 청강하며 부족한 지식을 보충하고자 하였습니다."
55,"""경쟁력""

대보정보통신은 지능형 교통시스템 개발 및 운영사업을 비롯하여 교통, 항공, 철도, 국방 등 국가기반 시설의 정보화를 선도해온 IT 서비스 기업으로, 탁월한 기술력과 축적된 노하우, 대외신인도를 기반으로 공공, 금융, 제조, 물류 IT 등의 분야로 사업영역을 확대하고 있습니다."
56,"""인턴 경험과 OOOO, 경영학 복수전공""

고객들의 S.O.S에 언제나 귀 기울이는 우체국금융개발원의 일원이 되어 최고 품질의 금융서비스를 제공하는데 참여하고 싶습니다.

고등학교 1학년 때, 시각장애인들을 위해 도서관에서 책을 점자화, 음성화하는 봉사를 했습니다. 활동을 시작하기 전 교육영상을 시청하였습니다. 장애인들의 교육환경이 얼마나 열악한지 알 수 있었습니다. 덕분에 전보다 적극적으로 봉사활동에 참여하게 되었습니다. 이는 공공의 이익을 위해 일해야겠다는 직업관을 형성시켜 주었습니다.

나아가 대학교 2학년 때 병원재무관리라는 과목을 듣고 금융에 관심을 가지게 되었습니다. 이후 경영학을 부전공으로 선택하고 2년간 경영학과에서 회계와 재무 관련 과목을 들으면서 금융 지식을 습득하였습니다. 이러한 경험은 공공의 이익을 위해 금융 지식을 활용할 수 있는 우체국금융개발원에 지원해야겠다는 동기로 이어졌습니다.아쉬운점 1

다른 지원자에 비해 차별화할 수 있는 점은 첫째, 우체국금융개발원에서 근무한 경력이 있습니다. 우체국금융개발원 인재경영팀에서 4개월 간 인턴으로 근무한 만큼 조직 적응기간이 짧을 것입니다. 그 기간만큼 빠르게 조직에 융화되어 성과를 낼 수 있습니다. 아쉬운점 2
둘째, 대학에서 OOOOO학과 경영학을 복수전공 했습니다. 보험금 지급 조사, 심사 업무를 하기 위해서는 금융 지식에 더하여 보건, 의료, 보험에 대한 지식도 풍부해야 합니다. 전공 지식을 바탕으로 조사 실무능력을 탄탄히 향상시켜 나갈 수 있습니다.아쉬운점 3"
57,"""강점과 약점을 파악해 맞춤전략으로 영업하겠습니다""

CJ제일제당의 가정간편식 대표 제품인 햇반컵반을 1인가구가 간단하고 쉽게 즐길 수 있는 제품으로 만들겠습니다. 햇반컵반의 강점은 첫째, 가정간편식으로서 1인가구가 쉽게 즐길 수 있다는 점과 둘째, 기존 소비자들에게 검증된 햇반을 통해 파생된 제품이라는 점입니다. 최근 1인가구의 증가 추세로 이들이 간단하고 쉽게 즐길 수 있는 제품에 대한 수요가 늘고 있습니다. 간단하게 즐길 수 있는 제품의 수는 늘어가고 있는 반면 ‘맛’과 ‘위생’이라는 기본에 충실한 제품은 그다지 많지 않습니다. 햇반컵반은 이러한 점에서 타사의 제품에 비해 절대적 우위를 점하고 있습니다. 저는 이러한 기회요인을 잘 살려내어 수요층을 확실하게 사로잡고 설득해내어 강점을 더욱 돋보이게 하는 영업을 하도록 하겠습니다.아쉬운점 1

반면 햇반컵반의 약점은 유사한 제품을 만들어내는 기업이 존재한다는 점입니다. 오뚜기, 동원F&B는 컵밥 패키징 기술이 CJ제일제당에 있음에도 불구하고 무단으로 복제하여 판매하고 있습니다. 그럼에도 불구하고 CJ제일제당의 복합밥 시장 점유율은 60%대를 상회하고 있습니다. 그러나 이에 만족하지 않고 가까운 미래에 봉착할 위기에 대응하도록 하겠습니다. 타기업의 무단복제 제품으로 인한 위협요인을 조기에 차단하고 점유율을 높이려 노력하겠습니다. 강점은 강하게, 약점은 최소화하며 영업을 하는 사원이 되겠습니다.아쉬운점 2"
58,"인도에서 10주동안 Story Tag라는 소셜네트워크 웹 프로그램을 테스팅 및 새로운 기능을 추가하는 인턴십을했습니다. 화기애애한 분위기로 시작했으나, OJT와 프로그램 소스 코드를 하면서 관련된 문서가 없었고 프로그램 규모가 상당히 크다는 것을 뒤늦게 알게 되었습니다.

프로젝트가 빠르게 진행되면서 소스코드 공유 및 이해에 대한 문제가 발생하게 되었습니다. 외부 인터넷과의 단절된 환경 이었고 팀원 중 누군가 코드를 수정하고 이에 대한 사항을 알려주지 않으면 수정된 부분을 알 수 없게 되어 중복수정을 하게 되었고 업무의 효율성은 점점 떨어졌습니다.

이를 해결하기 하기 위해 매니저에게 어려움을 이야기 하고 팀원들에게 모든 PC에 TortoiseSVN을 설치해 소스코드를 공유하고 수정 시에는 명확하게 주석을 달 것을 제안했습니다. 기존 작업환경에 익숙했던 인도학생들이 거부감을 느껴 처음에는 받아들여지지 않았지만 SVN 사용에 대한 프리젠테이션을 별도로 준비해서 공유 작업 환경의 편의성에 대해 알리기 위해 노력했습니다.

그 결과 인도학생들도 SVN의 장점을 인정하게 되었고 이를 적용하면서 업무의 효율성이 높아져 전체 프로젝트 일정을 한 주 앞당기는 쾌거를 이룰수 있었습니다. 이와 같은 경험을 바탕으로 SK Telecom에서 프로젝트 중 사전에 장애요인을 자발적으로 분석하고 개선방향을 적용하는 추진력 있고 단단한 신입사원이 되도록 하겠습니다."
59,"""가치를 만드는 사람""

직업과 회사는 가지고 있는 정보와 지식을 공유하고 활용할 수 있는 수단으로 생각하고, 이를 실현할 수 있는 가능성에 근거해 회사를 선택합니다. 이와 관련해 SCM의 전문성을 발휘할 수 있는 아모레퍼시픽을 통해 많은 사람에게 아름다움의 가치를 전해주고 싶어 아모레퍼시픽의 SCM 직무에 지원했습니다. 
좋은점 1
본 전공인 교통계획을 공부하며 비슷한 점이 있음에도 다루지 않는 물류와 SCM에 대해 관심을 갖게 되었고, 새로운 학문을 체득하고자 물류학 복수전공을 시작했습니다. 학과 프로그램으로 군포 복합물류 터미널 견학을 다녀왔고, 그곳에서 체계적이고 철저한 업무 분담을 통해 수많은 고객의 요구를 충족시키는 모습을 보며 물류의 매력을 알게 되었습니다. 

또한, 운송수단에 관심이 많아 운송을 통한 장소적 격차 해소의 유용함을 직접 느껴왔고, 제가 경험한 유용한 가치를 스스로 만들어 낼 수 있도록 두 전공을 연계한 학습을 지속해서 하고 있습니다. 전공에 대한 학습을 통해 직무를 간접적으로 경험했으며, 전문역량을 강화하고자 물류관리사 자격을 취득했습니다."
60,"""Red Ocean 시장에서의 성장동력""

저는 수주 영업 컨설턴트로서 쌓았던 경험을 기반으로, Red Ocean인 FS수주영업시장에서 삼성웰스토리의 성장동력이 되기 위해 지원하였습니다. 현재 단체급식시장은 완전 경쟁 입찰로 전환되면서, 기존 사업자 외 중견, 외국계 기업이 새로운 경쟁자로 등장하고 있습니다. 이에 따라 사업장별 Pre-sales, RFP 대응, 제안서 작성 및 경쟁 PT에서 차별화된 자사의 솔루션을 제안하는 것이 더욱 중요해진 실정입니다. 이러한 환경의 변화 속에서 삼성웰스토리는 '셀럽 테이블', '웰그린 데이' 등 고객 개개인의 니즈에 맞는 차별화된 식음 서비스를 제공하고 있습니다. 이러한 기업의 전략에 저의 수주 영업 역량과 만난다면 더욱 큰 시너지가 될 수 있다고 생각합니다. 
 
""고객의 숨겨진 니즈를 파악하는 수주영업사원"""
61,"화성도시공사는 거래처와 연계된 다양한 종류의 데이터를 꼼꼼하고 종합적으로 이해하는 능력이 중요하다고 생각합니다. 광범위한 데이터를 이해하고자, 2달 동안 빅데이터 전문가 양성 교육을 수강했습니다. 이를 통해, 엑셀, R 프로그래밍을 활용하여 다양한 데이터 종류를 이해하고, 통계 프로그램을 활용하는 능력을 길렀습니다. 이후, 학기 중 틈틈이 준비하여 관련 자격증인 ADsP와 사회조사분석사 2급, 컴퓨터 활용능력 1급을 취득했습니다.아쉬운점 1"
62,"현재, 그리고 눈앞으로 다가온 사물인터넷의 시장의 주도권을 가져가기 위해 기업들이 치열하게 경쟁하고 있습니다. 앞으로 IT 시장, 전반적인 산업에 있어서 중요한 기술이 될 사물인터넷은 스마트 홈서비스, 자율주행 자동차, 스마트 팩토리, 등의 수많은 가치를 창출할 황금알을 낳는 거위가 될 것입니다. 한화 S&C는 지능형 관리시스템, 코엑스의 스마트 전시장, 등을 통해서 IoT시장의 리더가 되기 위해 노력하고 있습니다.

그러나, IoT 시장을 이끌어가기 위해서는 한화 S&C만의 독자적인 인프라 구축이 필요합니다.
앞으로 IoT 문제점으로 다가올 데이터 급증의 문제점에 대비해 독자적인 인프라를 구축해놓는다면 다른 기업과 다르게 한 발 더 앞서 나갈 수 있을 거라고 생각합니다. 이 문제점을 극복하기 위해서는 클라우드 컴퓨팅, 효율적인 스토리지, 빅데이터 분석 등을 기반으로 한 인프라 구축의 방법이 있습니다. 한화 S&C는 이 요소들에 대한 유리한 고지를 미리 차지해 놓는 것이 중요할 것입니다.아쉬운점 1"
63,"A팀에서 저의 책임을 다하겠습니다. 팀 동료들이원한다는 것은 A팀에서의 책임이 아직 남아있기 때문입니다. 이상황에서 좋은 기회가 왔다고 팀을 옮기는 것은 옳지 않습니다. 또한 A팀의업무에 더욱 적응하는 기회로 삼고 싶습니다.

조직에서는 내가 원하는 일만 하는 것이 아니라, 어떤 업무이건 조직의 발전을 위해 적응해야 합니다. 더 노력해서커리어에 대한 고민을 하지 않아도 될 수 있게 자기계발을 하겠습니다. A팀에서 책임을 다하고 인정받고, 저에게 더 맞는 업무의 기회가 다시 주어졌을 때 옮기는 것이 옳다고 생각합니다."
64,"글로벌 역량을 갖춘 전문 인재가 되기 위하여 호주에서 2년 동안 공부하는 동안 영어 회화를 자연스럽게 할 수 있는 능력을 개발하였습니다. 어떤 사람들을 만나도 어색함 없이 대화할 수 있어야 한다는 목표를 세우고 매일 공부하며 내가 책에서 배운 회화 표현을 매일 한 번이라도 사람들과 대화하며 사용하며 익혀야겠다고 목표를 세웠습니다.
회화 능력을 향상하기 위해 한국에서 구입한 문법책과 단어장으로 공부했지만, 이들 대부분이 시험을 위한 책 들이었기 때문에 회화 능력 향상에는 한계가 있었습니다. 한국어는 이곳에선 아예 모르고, 영어로만 생각하자는 마음으로 답답한 마음에 도서관에서 영어 교육 관련 책을 찾아보다가 Grammar in Use 영문판 책을 찾게 되었고 현지에서 출판되었다는 점과 대화를 위한 표현을 다루고 있었기 때문에 이 책으로 공부하였습니다. 공부한 내용을 실제 대화에서 활용하기 위해 매일 퇴근길에 마주치는 사람 2~3명에게 길을 물어보며 자연스럽게 대화를 시작하여 책에서 배운 표현을 사용했습니다. 이러한 ‘스몰 토크’ 문화는 영미권에서 발달하여 어색한 행동이 아니었고, 이를 통해 회화 실력 향상에 많은 도움이 되었습니다."
65,"""데이터의 힘을 믿는 분석가""

재경/경영지원 직무에선 왜라는 의문으로 선제적으로 문제를 파악하고 대처할 수 있는 분석적 역량이 필요합니다.
야구 동아리 활동을 하며 경기를 숫자로 정리하고 분석해 미래를 예측할 수 있다는 야구 통계의 특성을 매력으로 느꼈습니다. 저는 상대 팀의 데이터를 분석해 감독의 의사결정을 도왔고 팀을 조 1위로 이끌었습니다. 데이터를 분석해 의사결정에 유의미한 차이를 만들어 낸 경험은 즐거웠습니다. 회사의 성과분석과 미래 계획수립에 회계가 이와 같은 역할을 한다는 것에 흥미를 느꼈고 재경/경영지원의 꿈을 키웠습니다. 아쉬운점 1
비록 실무 경험은 적지만 스스로 찾아 배우는 자세로 꾸준히 역량을 높이려 노력했습니다. 전공에서 회계, 세무 강의들을 들은 후에도 실무에서의 사용 방법에는 부족함을 느꼈고, 이후 재경관리사를 공부하고 전산회계와 전산세무 자격증을 취득하며 kcLep와 더존 등 실무 역량을 높이기 위해 노력했습니다. 경험은 적지만 제가 가진 책임감과 열정으로 스스로 찾아 배우는 인재가 되어, KCC가 국내 시장에서의 수익성을 높이고 세계무대에서도 역량을 발휘해 경영목표를 달성하도록 최선을 다하겠습니다.아쉬운점 2"
